year,count
1942.0,18.0
1944.0,76.0
1945.0,63.0
1946.0,76.0
1947.0,42.0
1954.0,120.0
1955.0,111.0
1956.0,98.0
1958.0,111.5
1959.0,143.0
1960.0,131.0
1962.0,167.0
1964.0,228.0
1965.0,151.5
1966.0,116.0
1967.0,91.5
1968.0,149.66666666666666
1969.0,140.0
1970.0,66.0
1971.0,132.0
1972.0,110.33333333333333
1973.0,108.66666666666667
1974.0,110.14285714285714
1975.0,110.0
1976.0,117.33333333333333
1977.0,126.33333333333333
1978.0,100.42857142857143
1979.0,115.0
1980.0,122.42857142857143
1981.0,109.66666666666667
1982.0,114.81818181818181
1983.0,115.25
1984.0,115.125
1985.0,109.14285714285714
1986.0,107.75
1987.0,89.8
1988.0,101.18181818181819
1989.0,113.5
1990.0,102.88888888888889
1991.0,91.0909090909091
1992.0,103.71428571428571
1993.0,118.64285714285714
1994.0,130.08333333333334
1995.0,118.14285714285714
1996.0,119.85714285714286
1997.0,116.66666666666667
1998.0,103.95454545454545
1999.0,122.0
2000.0,112.21428571428571
2001.0,118.13793103448276
2002.0,120.65714285714286
2003.0,116.70588235294117
2004.0,119.25
2005.0,113.91836734693878
2006.0,111.93103448275862
2007.0,112.69642857142857
2008.0,108.23809523809524
2009.0,109.03488372093024
2010.0,105.84158415841584
2011.0,106.72826086956522
2012.0,102.3716814159292
2013.0,102.43790849673202
2014.0,102.1058201058201
2015.0,101.78412698412698
2016.0,97.80357142857143
2017.0,97.0755711775044
2018.0,99.37065637065638
2019.0,95.9281045751634
2020.0,100.0
