date_added,duration
"October 3, 2018",25
"October 3, 2018",121
"October 3, 2018",88
"October 3, 2017",90
"October 3, 2017",66
"October 3, 2017",92
"October 29, 2019",63
"October 29, 2018",87
"October 29, 2016",92
"October 28, 2019",20
"October 28, 2018",102
"October 28, 2017",93
"October 28, 2016",89
"October 28, 2016",107
"October 28, 2016",94
"October 28, 2016",110
"October 28, 2016",81
"October 27, 2018",89
"October 27, 2018",94
"October 27, 2017",98
"October 27, 2016",77
"October 27, 2015",85
"October 26, 2019",88
"October 26, 2018",126
"October 26, 2018",89
"October 26, 2018",90
"October 26, 2018",115
"October 26, 2017",91
"October 25, 2019",98
"October 25, 2019",94
"October 25, 2019",106
"October 25, 2019",118
"October 25, 2019",86
"October 25, 2019",94
"October 25, 2018",93
"October 25, 2017",168
"October 25, 2015",90
"October 24, 2019",82
"October 24, 2019",92
"October 24, 2018",138
"October 24, 2017",68
"October 23, 2019",95
"October 23, 2019",52
"October 23, 2019",108
"October 23, 2018",74
"October 23, 2018",102
"October 23, 2017",97
"October 22, 2019",91
"October 22, 2019",96
"October 22, 2019",67
"October 22, 2019",83
"October 22, 2019",94
"October 22, 2019",97
"October 22, 2018",103
"October 22, 2017",115
"October 22, 2017",148
"October 22, 2017",149
"October 22, 2017",113
"October 22, 2017",137
"October 22, 2017",140
"October 22, 2017",144
"October 22, 2015",105
"October 21, 2019",91
"October 21, 2018",119
"October 21, 2016",64
"October 21, 2014",68
"October 20, 2018",104
"October 20, 2018",161
"October 20, 2017",103
"October 20, 2017",82
"October 2, 2019",98
"October 2, 2018",111
"October 2, 2018",81
"October 2, 2018",137
"October 2, 2018",56
"October 2, 2018",80
"October 2, 2018",94
"October 2, 2018",94
"October 2, 2018",72
"October 2, 2017",101
"October 2, 2015",64
"October 19, 2019",98
"October 19, 2019",92
"October 19, 2019",118
"October 19, 2018",51
"October 19, 2018",86
"October 19, 2018",140
"October 19, 2018",122
"October 19, 2018",95
"October 19, 2018",205
"October 19, 2018",121
"October 19, 2017",94
"October 18, 2019",87
"October 18, 2019",121
"October 18, 2019",98
"October 18, 2019",95
"October 18, 2019",107
"October 18, 2019",100
"October 18, 2019",101
"October 18, 2019",96
"October 18, 2019",99
"October 18, 2019",112
"October 18, 2019",127
"October 18, 2018",131
"October 17, 2019",140
"October 17, 2018",80
"October 17, 2017",66
"October 16, 2019",63
"October 16, 2019",97
"October 16, 2019",86
"October 16, 2018",63
"October 16, 2017",135
"October 16, 2017",96
"October 16, 2017",144
"October 16, 2016",111
"October 16, 2015",59
"October 16, 2015",137
"October 16, 2015",86
"October 15, 2019",93
"October 15, 2018",150
"October 15, 2018",159
"October 15, 2017",108
"October 15, 2017",127
"October 15, 2017",127
"October 15, 2017",90
"October 15, 2017",126
"October 15, 2017",121
"October 15, 2017",119
"October 15, 2017",109
"October 15, 2017",132
"October 15, 2017",118
"October 15, 2017",84
"October 15, 2017",93
"October 15, 2017",96
"October 15, 2017",145
"October 15, 2017",158
"October 15, 2017",132
"October 15, 2017",111
"October 15, 2017",133
"October 15, 2017",143
"October 15, 2017",117
"October 15, 2016",97
"October 15, 2016",77
"October 15, 2016",94
"October 15, 2016",94
"October 15, 2016",91
"October 15, 2016",93
"October 15, 2016",95
"October 14, 2019",62
"October 14, 2017",107
"October 14, 2016",80
"October 14, 2015",135
"October 14, 2013",72
"October 13, 2019",96
"October 13, 2018",131
"October 13, 2017",83
"October 13, 2017",102
"October 13, 2017",52
"October 13, 2017",85
"October 13, 2017",113
"October 13, 2016",95
"October 12, 2018",130
"October 12, 2018",99
"October 12, 2018",106
"October 12, 2018",97
"October 12, 2017",88
"October 12, 2017",89
"October 12, 2016",90
"October 12, 2014",71
"October 11, 2019",104
"October 11, 2019",123
"October 11, 2019",100
"October 11, 2019",99
"October 11, 2019",151
"October 11, 2019",102
"October 11, 2018",118
"October 11, 2018",98
"October 10, 2018",144
"October 10, 2018",110
"October 10, 2017",59
"October 10, 2014",71
"October 1, 2019",93
"October 1, 2019",77
"October 1, 2019",103
"October 1, 2019",45
"October 1, 2019",119
"October 1, 2019",147
"October 1, 2019",123
"October 1, 2019",99
"October 1, 2019",98
"October 1, 2019",106
"October 1, 2019",112
"October 1, 2019",85
"October 1, 2019",91
"October 1, 2019",88
"October 1, 2019",101
"October 1, 2019",90
"October 1, 2019",96
"October 1, 2019",99
"October 1, 2019",101
"October 1, 2019",111
"October 1, 2019",96
"October 1, 2019",86
"October 1, 2019",97
"October 1, 2019",121
"October 1, 2019",90
"October 1, 2019",88
"October 1, 2019",64
"October 1, 2019",104
"October 1, 2019",122
"October 1, 2019",125
"October 1, 2019",92
"October 1, 2019",129
"October 1, 2019",79
"October 1, 2019",121
"October 1, 2019",106
"October 1, 2019",124
"October 1, 2019",87
"October 1, 2019",125
"October 1, 2019",154
"October 1, 2019",86
"October 1, 2019",111
"October 1, 2019",97
"October 1, 2019",66
"October 1, 2019",121
"October 1, 2019",91
"October 1, 2019",91
"October 1, 2019",82
"October 1, 2019",117
"October 1, 2019",81
"October 1, 2019",84
"October 1, 2019",81
"October 1, 2019",107
"October 1, 2019",94
"October 1, 2019",163
"October 1, 2019",90
"October 1, 2019",96
"October 1, 2019",91
"October 1, 2019",93
"October 1, 2018",140
